text,intent
please add sugar to my shopping list if it's not on it,shopping_list_update
remove wine and add beer to my shopping list,shopping_list_update
"is paprika listed on my shopping list, please add it",shopping_list_update
"is bacon on my shopping list, add if it's not",shopping_list_update
delete soda from my shopping list and add water to it,shopping_list_update
"do i have pepper my shopping list, if not add it",shopping_list_update
"are bananas on the list, if not can you add them",shopping_list_update
"do i have bananas on my list, if not please put them on the list",shopping_list_update
"are bananas already on the list, if not go ahead and add them",shopping_list_update
are bananas on my shopping list can you add them if they aren't,shopping_list_update
"do i have bananas on my shopping list, if not please add it",shopping_list_update
add bread to my list of groceries,shopping_list_update
add bread to my list of things to buy,shopping_list_update
put bread on my shopping list,shopping_list_update
make sure bread gets added to my shopping list,shopping_list_update
remind me to buy bread next time i go shopping,shopping_list_update
will you include kleenex on my list for shopping please,shopping_list_update
make sure walnuts is on my shopping list,shopping_list_update
put film on my shopping list,shopping_list_update
add sprite to my shopping list,shopping_list_update
write apples on my shopping list,shopping_list_update
add oranges to my to do shopping list,shopping_list_update
add mountain dew to my list for shopping,shopping_list_update
add coke to my shopping cart,shopping_list_update
add apples to my to do shopping list,shopping_list_update
add pepsi to my shopping bag,shopping_list_update
i'm out of bananas; add to shopping list,shopping_list_update
i need for you to remove milk from my shopping list and add bread,shopping_list_update
"on my shopping list, remove bread and add milk",shopping_list_update
i need for you to get bananas added to my shopping list; i'm out,shopping_list_update
would you add bananas to my shopping list as i am out,shopping_list_update
add groceries to my shopping list as i am out,shopping_list_update
please get milk removed from my shopping list and add bread,shopping_list_update
would you remove bread from my shopping list and add bread,shopping_list_update
i want to remove milk from my shopping list and add bread,shopping_list_update
i am out of trash bags and need them to be added to my shopping list,shopping_list_update
"please add milk on my shopping list, if it is not already on it",shopping_list_update
do i have milk on my shopping list please add it if it is not,shopping_list_update
i want you to add milk on my shopping list unless it is already on it,shopping_list_update
i would like you to add milk if it is not on my shopping list already,shopping_list_update
"is the milk on the shopping list if not, please add",shopping_list_update
do me a favor and put sharpies on my list for shopping,shopping_list_update
please put silverware on my list for shopping,shopping_list_update
may i suggest we put paper towels on my list for shopping,shopping_list_update
maybe we can put blank cds on my list for shopping,shopping_list_update
can we put sunscreen on my list for shopping,shopping_list_update
make sure to put extra paint on the list,shopping_list_update
x on the shopping list please,shopping_list_update
can you put carrots on my shopping list,shopping_list_update
i would like to put carrots on my list for shopping,shopping_list_update
remove corn from my shopping list,shopping_list_update
put on my shopping list i need carots,shopping_list_update
remove chips from my shopping list,shopping_list_update
take frozen food off my shopping list,shopping_list_update
i need soda added to my list and carrots removed,shopping_list_update
i need oranges on my shopping list,shopping_list_update
take carrots off my list for shopping,shopping_list_update
my shopping list should have carrots on it,shopping_list_update
remove carrots from my shopping list and add soda,shopping_list_update
can you put oranges on my shopping list,shopping_list_update
put carrots on my shopping list,shopping_list_update
put soda on the shopping list and add carrots,shopping_list_update
can you take frozen food of my shopping list,shopping_list_update
can you take carrots off my shopping list and add soda,shopping_list_update
please make sure oranges are on my shopping list,shopping_list_update
add soda on my shopping list and remove carrots,shopping_list_update
get rid of butter on my shopping list,shopping_list_update
delete ice cream from my shopping list,shopping_list_update
take fresh carrots off my shopping list,shopping_list_update
i want you to remove shampoo from my shopping list,shopping_list_update
"update my shopping list, delete canned olives",shopping_list_update
can you put detergent on my shopping list cause i'm all out,shopping_list_update
put milk on my shopping list cause i'm out of it,shopping_list_update
put spaghetti on my shopping list cause i'm out of it please,shopping_list_update
put rice and pudding on my shopping list cause i need them,shopping_list_update
can you please put toilet paper on the shopping list i'm out of it,shopping_list_update
i need to add cherrios to the grocery list,shopping_list_update
i'm low on cherrios can you add that to the shopping list,shopping_list_update
i ran out of cherrios so add that to the list,shopping_list_update
add cherrios to the shopping list,shopping_list_update
can you add cherrios to my shopping list,shopping_list_update
"for the shopping list, add ham as well",shopping_list_update
"are eggs on my list, if not add them",shopping_list_update
i need you to add creamer to my shopping list,shopping_list_update
please put milk on my list i just used the last of it,shopping_list_update
"i no longer need milk, so forget that",shopping_list_update
how high are the rewards on my discover card,rewards_balance
how many rewards do i now have on my hy-vee card,rewards_balance
what's the current reward amount on my mastercard,rewards_balance
what's my current reward balance on my amex card,rewards_balance
what's my visa's current rewards balance,rewards_balance
how many reward points have stacked up for my amex card,rewards_balance
how many reward points do i have available to redeem on my visa,rewards_balance
what's the current reward amount on my visa,rewards_balance
what's the reward point count on my discover card,rewards_balance
what is my american express card's rewards balance,rewards_balance
what is my chase card's rewards balance,rewards_balance
what is my wells fargo card's rewards balance,rewards_balance
what is my citigroup card's rewards balance,rewards_balance
what is my bank of america card's rewards balance,rewards_balance
how can i see my rewards for my visa card,rewards_balance
tell me how to check my rewards for my american express card,rewards_balance
how can i look at rewards for my amex card,rewards_balance
tell me how to check rewards for my mastercard,rewards_balance
where are rewards from my visa card visible,rewards_balance
what is my current reward point total on my visa card,rewards_balance
how would i be able to check my kohls rewards card,rewards_balance
i need to know my reward point total looking at my debit card,rewards_balance
do i have enough points on my starbucks card yet,rewards_balance
help me check my visa rewards card,rewards_balance
can i check my gold rewards card online,rewards_balance
can you tell me how many points i have on my kohls card,rewards_balance
what is the easiest way to check my bank rewards card,rewards_balance
is there a better way to check my visa rewards card balance,rewards_balance
how many points are on my gold card,rewards_balance
what's the amount of points i have earned with my discover card,rewards_balance
i wonder how many points i have earned with my bank of america card,rewards_balance
have i earned a lot of points on my capital one card,rewards_balance
can you tell me how many points i have to date with my capital one miles card,rewards_balance
what's the total number of points i earned so far with my chase rewards card,rewards_balance
how many points have i already accrued on my chase mastercard,rewards_balance
"i would like my total rewards points balance on my bank of america platinum rewards card, please",rewards_balance
i need to hear how many points i've obtained on my capital one visa,rewards_balance
how many points did i get on my discover card,rewards_balance
how many points did my visa earn,rewards_balance
what points were earned on my mastercard,rewards_balance
how many points have been earned on my amex,rewards_balance
how many points did i get on my visa card,rewards_balance
what's the balance of my reward points on my discover card,rewards_balance
i need to know my rewards balance on my discover card,rewards_balance
what's my discover card reward balance,rewards_balance
what's my rewards balance on my discover,rewards_balance
what is the reward balance on my discover card,rewards_balance
how many rewards points do i have for my visa card,rewards_balance
how many rewards points do i have for my wells fargo card,rewards_balance
how many rewards points do i have for my amazon card,rewards_balance
how many rewards points do i have for my chase card,rewards_balance
how many rewards points do i have for my mastercard,rewards_balance
what is my points total for my mastercard,rewards_balance
what's my total point number on my mastercard,rewards_balance
how many points do i have on my mastercard,rewards_balance
what is the number of points i earned with my mastercard,rewards_balance
how many points have i accumulated on my mastercard,rewards_balance
how can i see my rewards for my chase card,rewards_balance
where can i find my rewards for my chase card,rewards_balance
what do i have to do to see my rewards for my chase card,rewards_balance
how do i see me rewards for my chase card,rewards_balance
where are my rewards for my chase card,rewards_balance
what's the point balance on my marriot rewards card,rewards_balance
how many points do i have in total on my marriot rewards card,rewards_balance
show me the total up to date points on the marriot rewards card,rewards_balance
my marriot rewards card has how much for a point total,rewards_balance
give my my current points on my marriot rewards card,rewards_balance
can you tell me my starbucks rewards balance,rewards_balance
can you help me tell what my starbucks rewards balance is,rewards_balance
what is the remainder of my starbucks rewards balance,rewards_balance
my starbucks rewards balance is,rewards_balance
what is the total amount of my starbucks rewards balance,rewards_balance
i have how many points on my amex right now,rewards_balance
how many points are on my speedway card right now,rewards_balance
i have how many tier credits on my caesar's card,rewards_balance
how many points do i have on my mlife card,rewards_balance
how many delta miles are on my card right now,rewards_balance
how many rewards do i have on my chase card,rewards_balance
how do i find out my rewards balance on my chase card,rewards_balance
can i check my visa reward balance online,rewards_balance
when can i receive rewards on my visa card,rewards_balance
how do i check how many rewards i have on my master card,rewards_balance
how do i check my rewards for my gold card,rewards_balance
what rewards does my gold card get,rewards_balance
where do i find my gold card rewards,rewards_balance
what is the number of remaining rewards points on my chase card,rewards_balance
i need to find out the rewards points i have left on my american express card,rewards_balance
what is the amount of rewards points on my visa card,rewards_balance
do you know how many rewards points are currently on my discover card,rewards_balance
does my mastercard have any rewards points remaining,rewards_balance
put my points up for master card,rewards_balance
figure out my reward points for discovery card,rewards_balance
add all of my points for my current discover card,rewards_balance
calculate my points for visa,rewards_balance
add up my reward points for master card,rewards_balance
what the current balance of reward points on my mastercard,rewards_balance
what's my reward balance on my amex card,rewards_balance
how do i get my rewards balance on my diner's club card,rewards_balance
how many reward points does my discover card have,rewards_balance
tell me how to check rewards on my american express card,rewards_balance
i didn't hear you please repeat,repeat
please repeat,repeat
i want you to repeat that,repeat
one more time please,repeat
i need you to repeat that,repeat
i need you to please repeat that,repeat
one more time for me please,repeat
i would like that repeated,repeat
just another time please,repeat
say it again please,repeat
i must have you repeat that,repeat
say it again,repeat
i need that repeated,repeat
just one more time,repeat
i want to have that repeated for me,repeat
i want that repeated,repeat
ai what was the question,repeat
ai i didn't hear you,repeat
ai please repeat,repeat
ai could you say that again,repeat
excuse me,repeat
i did not hear you,repeat
"i didn't get that, please repeat",repeat
please repeat yourself,repeat
"i didn't catch that, please repeat",repeat
can you say that over,repeat
restate the last thing you told me,repeat
repeat what you just said,repeat
i didn't catch that say it again,repeat
what was that last thing you said,repeat
repeat what you just told me,repeat
please say that one more time,repeat
hold on what was that you just said,repeat
repeat that last response,repeat
"i need you to repeat that, please",repeat
"i did not quite hear you, can you say it again",repeat
can you please repeat that response,repeat
"i did not hear you, please repeat",repeat
say it one more time please,repeat
"i didn't hear, please say it again",repeat
im sorry can you repeat yourself,repeat
"i missed what you said, can you say it again",repeat
"i couldn't hear you, can you repeat it",repeat
i didn't hear say it again please,repeat
can you repeat yourself,repeat
i would like you to repeat yourself,repeat
"i missed that last one, please repeat",repeat
what was that,repeat
i didn't hear you can you repeat that,repeat
please repeat that phrase,repeat
"i missed what you said, please say it again",repeat
can you tell me what you just said,repeat
"will you repeat that, please",repeat
"could you repeat that, please",repeat
"would you repeat that, please",repeat
would you repeat that,repeat
would you please ask the question again,repeat
i am needing for you to say that again,repeat
i need for you to ask the question again,repeat
could you ask the question again,repeat
i am going to need you to say that again,repeat
"would you say that again, please",repeat
repeat the question,repeat
i didn't hear what you said,repeat
repeat that please,repeat
i didn't hear you,repeat
"i didnt hear what you just said, can you say it again",repeat
may you repeat what you said again,repeat
"i didn't hear what you just said, can you repeat it",repeat
"i didn't understand what you just said, can you repeat it",repeat
"i didnt understand what you just said, can you say it again",repeat
can you say what you just said again,repeat
could you repeat what you just said again,repeat
would you repeat what you just said,repeat
will you please repeat what you said,repeat
what did you just mention,repeat
i need that said again,repeat
i need to know again,repeat
please say it again,repeat
tell me once more,repeat
repeat that again,repeat
replay what you just said,repeat
"i missed that, say it again",repeat
could you say that again,repeat
repeat your last message,repeat
say it one more time,repeat
i did not understand say it again,repeat
can you please sat it one more time,repeat
"i did not catch that, repeat what you just said",repeat
"sorry, i didn't hear you, can you say that gain",repeat
"i didn't hear you, can you repeat that louder",repeat
i didn't catch that so please repeat it,repeat
please run that by me again,repeat
i missed that say it again,repeat
can you say again,repeat
please repeat what you just said,repeat
can i get you to say that once more,repeat
will you repeat what you just said,repeat
please repeat over what you said,repeat
come again with that,repeat
yep,yes
that is affirmative,yes
what you just said is true,yes
that is not false,yes
that is a fact,yes
i agree with the truth of what you just said,yes
i believe what you just said is true,yes
that would be great,yes
that would be awesome,yes
that is totally true,yes
oh yes,yes
yes that is right,yes
that is a yes,yes
that seems true,yes
positive,yes
true,yes
very true,yes
that will be true,yes
that appears true,yes
that is true,yes
it is true,yes
that is right,yes
that statement was correct,yes
i think that's true,yes
that is accurate,yes
"yes, that is it",yes
correct,yes
the answer is yes,yes
all right,yes
it's indeed true,yes
that's a yes from me,yes
yes you are correct,yes
that's a definite yes,yes
yes that's it,yes
i vote yes,yes
that is correct,yes
"yes, that is true",yes
"yep, that's right",yes
yeah that's what i want,yes
you got it,yes
"yeah that's right, so true",yes
true is my response,yes
"yes, that's affirmative",yes
"yes, you got it",yes
absolutely!,yes
do that,yes
absolutely correct,yes
confirm,yes
"yes, i'd really like that alot",yes
"agreed, that's valid",yes
"affirmative, go ahead",yes
yes that's correct,yes
"yeah, that's how it is",yes
"yeah, that's right",yes
of course,yes
that's the truth,yes
exactly right,yes
"yes, that's accurate",yes
"yes, that is accurate",yes
"yes, that's what i want",yes
"yes, that is a fact",yes
"yes, that is correct",yes
"yes, that's confirmed",yes
indeed,yes
yes,yes
uh-huh,yes
"correct, that's true",yes
"yes, that's correct",yes
yeah,yes
yeap,yes
ok,yes
sure thing,yes
yes you are right,yes
yes you are,yes
yes i do like that,yes
yes that is correct,yes
yes i am,yes
i think it's true,yes
that would be yes,yes
that would be true,yes
i believe that's true,yes
uh huh,yes
"yep, that's true",yes
"yes, that is actually true",yes
"yes, that's it",yes
"yes, that is right",yes
"correct, it is affirmative",yes
the answer to that is a resounding yes,yes
i can confirm it is affirmative,yes
my response to that is yes,yes
i have to say affirmative on that one,yes
i would have to say yes as my answer,yes
the answer to that is affirmative,yes
"that is true, yes",yes
it is definitely affirmative,yes
is is very much true,yes
it is a true,yes
its a for sure true,yes
yes sir,yes
it's true,yes
what do my health benefits consist of,insurance
what health benefits are available to me,insurance
what health benefits can i use,insurance
what are the health benefits i have,insurance
what health benefits do i have,insurance
i need to know my health benefits,insurance
what is my health plan,insurance
what's the name of my medical coverage,insurance
i need to know more about my health plan,insurance
are my health benefits good,insurance
tell me what my health plan is called,insurance
do i have many health benefits,insurance
tell me about my health insurance,insurance
what is the name of my health insurance,insurance
list all of my health benefits,insurance
my insurance gives me what benefits,insurance
what benefits are available with my insurance,insurance
what benefits does my insurance provide,insurance
what benefits are provided by my insurance,insurance
my insurance benefits are what,insurance
what benefits do i get from insurance,insurance
give me information on my health plan,insurance
i'd like to know about my health plan,insurance
can you tell me my health plan,insurance
insurance benefits,insurance
what benefits are associated with my insurance,insurance
can you tell me my insurance benefits,insurance
what benefits does my insurance have,insurance
i'm curious what health plan i'm on,insurance
i'm wondering what health plan i'm on,insurance
can you let me know what health plan i'm on,insurance
do you know the health plan i'm on,insurance
is it possible for you to let me know what health plan i'm on,insurance
tell me about my insurance benefits,insurance
list my insurance benefits,insurance
list insurance benefits,insurance
insurance benefit information,insurance
insurance benefit details,insurance
give me the name of the insurance plan that i enrolled in,insurance
tell me the name of my insurance plan,insurance
what is the name of my insurance plan,insurance
what is the name of the insurance plan that i'm enrolled in,insurance
please provide the name of the insurance plan that i'm enrolled in,insurance
what's the healthcare plan i'm on,insurance
what's the deal with my health care,insurance
what's my current health care plan,insurance
any word on my healthcare plan,insurance
what healthcare plan do you have me on,insurance
i need you to tell me what benefits are included in my insurance,insurance
please find the benefits provided by my insurance,insurance
what benefits do i have with my insurance,insurance
can you tell me what is included in my health benefits,insurance
please tell my what insurance plan i registered for,insurance
"i need to know what my health benefits cover, please",insurance
"i would like to hear a list of my insurance benefits, please",insurance
what is the insurance plan that i'm signed up for,insurance
please tell me what's provided in my health benefits,insurance
which insurance plan do i currently have,insurance
can you tell me the name of the insurance plan i'm a member of,insurance
remind me of which insurance plan i'm currently enrolled in,insurance
what benefits does my health coverage give me,insurance
i would like to know all of the covered benefits that are given by my health care plan,insurance
can you tell me what benefits i receive with my insurance,insurance
is there an insurance plan for my health,insurance
can i see my health benefits,insurance
what are the benefits i get for my health,insurance
what is the aid i get from these health benefits,insurance
can i obtain health benefits,insurance
give me info on my health plan,insurance
what was my health plan again,insurance
what health plan do i have,insurance
tell me my health plan,insurance
what's my health plan,insurance
"which insurance plan am i enrolled in, please",insurance
"what type of insurance plan am i enrolled in, please",insurance
what kind of insurance plan am i enrolled in,insurance
"what kind of insurance plan am i enrolled in, please",insurance
may i know my insurance benefits,insurance
where is the list of my insurance benefits,insurance
what's my insurance benefits like,insurance
how do i know my insurance benefits,insurance
what insurance benefits am i getting,insurance
how would you define my health benefits,insurance
will you summarize my health benefits,insurance
define my health benefits,insurance
how would you describe my health benefits,insurance
what is the definition of my health benefits,insurance
can you explain my benefits,insurance
whats included with my insurance,insurance
what insurance benefits do i have,insurance
what do my benefits look like,insurance
what benefits are included in my package,insurance
what are my insurance assets,insurance
what are my insurance advantages,insurance
what are my insurance perks,insurance
what are my insurance rewards,insurance
what are my insurance amenities,insurance
do you know what my health benefits are,insurance
please look up the name of my insurance plan,insurance
can you tell me the name of my insurance plan,insurance
i need to add the chore of vacuuming to my task list,todo_list_update
put wash the counters down on my list of pending tasks,todo_list_update
take doing the dishes off my todo list,todo_list_update
blank out my todo list,todo_list_update
erase all items on my todo list,todo_list_update
delete everything on my todo list,todo_list_update
add clean bathroom to my to do list,todo_list_update
go ahead and take cleaning the bathroom off my todo list,todo_list_update
you can remove vacuuming off the todo list,todo_list_update
make my todo list blank,todo_list_update
please take shoveling the car off my todo list,todo_list_update
i'd like you to remove throw away dvds off my todo list,todo_list_update
put clean stovetop on my list of reminders,todo_list_update
nuke all items on my todo list,todo_list_update
will you put change the light bulbs on my list of things to do,todo_list_update
delete everything from the task list,todo_list_update
hurry up and just erase everything from the todo list,todo_list_update
can you kindly clear my agenda list,todo_list_update
hey just take off everything from my todo list,todo_list_update
i don't want to do anything today so just clear the todo list,todo_list_update
please include feeding the fish on my to do list,todo_list_update
please remove laundry from my list of chores,todo_list_update
please clear out my whole to do list,todo_list_update
i want you to clear out my to do list,todo_list_update
i want you to add cleaning the toilet to my to do list,todo_list_update
make sure my to do list is completely clear please,todo_list_update
please include laundry on my to do list,todo_list_update
can you please add take out recycling on my list of chores to complete,todo_list_update
please get rid off everything on my to do list,todo_list_update
please take feeding the fish off of my list of tasks to complete,todo_list_update
i need to add dusting the bookshelf to my to do list,todo_list_update
please put washing the dishes on my list of tasks to accomplish,todo_list_update
please be sure to put folding laundry on my to do list for me,todo_list_update
please put watering the plants on my to do list,todo_list_update
please erase everything on my to do list,todo_list_update
take watering the plants off of my to do list,todo_list_update
"i just finished taking out my recycling, so cross that off my to do list",todo_list_update
can you check washing the dishes off on my to do list,todo_list_update
i need laundry put on my list of tasks to complete,todo_list_update
please add watering the plants to my current to do list,todo_list_update
to my domestic task list please add paint kitchen,todo_list_update
add to my task list get carpet cleaned,todo_list_update
add clean the bathroom to my task list,todo_list_update
put clean refrigerator on my spring cleaning to do list,todo_list_update
on my big project task list please add paint shutters in spring,todo_list_update
delete my to do list,todo_list_update
"erase get a haircut from my to do list, please",todo_list_update
i need to include a stop at the pharmacy to the list of things to do,todo_list_update
please cross off schedule acupuncture appointment off of the to do list,todo_list_update
please put my acupuncture appointment on my to list,todo_list_update
"can you add a trip to the post office to my to do list, please",todo_list_update
please also list wash laundry on my to do list,todo_list_update
will you please put remember to drop off at the dry cleaner's to my current to do list,todo_list_update
would you kindly remove five mile run from my list of things to do,todo_list_update
"let's go ahead and scratch laundry off my to do list, please!",todo_list_update
can you delete lunch with david from my to do list,todo_list_update
put dishes on to do list,todo_list_update
"on my to do list, add dishes",todo_list_update
i need to do dishes put it on my to do list,todo_list_update
add dishes to my list,todo_list_update
cleaning needs to be on my to do list,todo_list_update
please add cleaning on my list to do,todo_list_update
cleaning needs to go on my list of things to do,todo_list_update
"on my to do list, add cleaning",todo_list_update
i need to do cleaning so add it to my to do list,todo_list_update
"on my to do list, i need cleaning added",todo_list_update
put cleaning on my to do list,todo_list_update
please put cleaning on my list of things to do,todo_list_update
add cleaning to my to do list,todo_list_update
"on my list of things to do, add cleaning",todo_list_update
can you place laundry on my to do list,todo_list_update
help remind me that i need to add laundry to my list of housework,todo_list_update
if you could remind me about doing laundry i would appreciate it,todo_list_update
please remind me to add laundry to my list of chores,todo_list_update
add laundry to my list of shit to do,todo_list_update
add change filters to my to do list,todo_list_update
add schedule appraiser to my to do list,todo_list_update
add mop bathroom to my to do list,todo_list_update
add do laundry to my to do list,todo_list_update
put buy dog food on my to do list,todo_list_update
"on my to do list, add exercising",todo_list_update
remove all items from todo list,todo_list_update
add grocery shopping to my list of things to do,todo_list_update
clear out my entire todo list,todo_list_update
remove laundry from my todo list,todo_list_update
put laundry on my to do list,todo_list_update
nix folding laundry from my todo list,todo_list_update
add washing dishes to my to do list,todo_list_update
cross volunteering off my todo list,todo_list_update
take everything off my todo list,todo_list_update
i no longer need to wash dishes; take it of my list,todo_list_update
delete everything on my to do list,todo_list_update
mark down cleaning the bathroom on my list of things to do,todo_list_update
throw mopping onto my to do list,todo_list_update
can you remind me to mop later by putting it on my to do list today,todo_list_update
will you make sure that mopping is on my to do list,todo_list_update
will you add mopping to my to do list please,todo_list_update
can you put mopping on my to do list,todo_list_update
place cleaning the backyard on my list of things to do,todo_list_update
please put the meeting with carla on my to do list,todo_list_update
please link with my phone,sync_device
please connect the device to my phone,sync_device
please link up to my phone,sync_device
could you link with my phone,sync_device
please turn off your wifi from my phone,sync_device
please remove your connection to my phone,sync_device
please unlink my phone,sync_device
please get off my phone connection,sync_device
please desync my current mobile,sync_device
i no longer want this phone to sync,sync_device
please link up to my cell,sync_device
create a link with my phone,sync_device
stop syncing with this phone,sync_device
i don't want this phone synced any more,sync_device
desync from my iphone,sync_device
please immediately disconnect this mobile,sync_device
establish a connection to my phone,sync_device
my phone needs to be unsynced now,sync_device
could you unsync my phone please,sync_device
you can unsync from my phone now,sync_device
disconnect from my phone please,sync_device
please unsync phone from phone from home system,sync_device
i must disconnect from my phone,sync_device
go and disconnect from my phone,sync_device
you must connect to my phone,sync_device
please connect to my phone,sync_device
you have to connect to my phone,sync_device
go ahead and disconnect from my phone,sync_device
i wanna disconnect from my phone,sync_device
i need to disconnect from my phone,sync_device
you need to connect to my phone,sync_device
go ahead and connect to my phone,sync_device
get connected to my phone,sync_device
i want for you to connect to my phone,sync_device
disconnect from my phone for me,sync_device
would you disconnect from my phone,sync_device
help me to disconnect from my phone,sync_device
would you connect to my phone,sync_device
i need for you to connect to my phone,sync_device
i need you to disconnect from my phone,sync_device
i want for you to disconnect from my phone,sync_device
connect to my phone for me,sync_device
mind connecting to my phone,sync_device
connect with my phone please,sync_device
can you link to my phone,sync_device
will you connect to my phone,sync_device
please disconnect from my phone,sync_device
please connect with my phone,sync_device
please unsync from my phone,sync_device
pair with my smart phone,sync_device
i want you to disconnect from my phone,sync_device
unsync from my phone,sync_device
please connect with my smart phone,sync_device
"disconnect from my phone now, please",sync_device
could you connect to my phone,sync_device
"can you connect to my phone, please",sync_device
"disconnect from my phone, please",sync_device
"could you connect to my phone, please",sync_device
"can you connect with my phone, please",sync_device
"could you connect with my phone, please",sync_device
pair my phone please,sync_device
pair with my phone please,sync_device
with my phone please pair,sync_device
pair with my phone,sync_device
would you unsync the phone now please,sync_device
unsync my phone now please,sync_device
how can i unsync my phone,sync_device
go ahead an unsync my phone now,sync_device
unsync my phone,sync_device
please remove the phone's sync,sync_device
remove the sync from my phone,sync_device
please unsync my phone,sync_device
desync from my phone,sync_device
can we pair this with my new phone,sync_device
i would like to pair this with my new phone,sync_device
i am going to go ahead and pair this with my new phone,sync_device
lets pair this with my new phone,sync_device
i need to pair this with my phone,sync_device
use my phone and connect please,sync_device
would you please pair with my phone,sync_device
"initiate connection with my phone, please",sync_device
please begin pairing with my phone,sync_device
will you please end the connection to my phone,sync_device
you can disconnect from my phone now,sync_device
stop the connection with my phone,sync_device
let's terminate connection to my phone please,sync_device
i want you to connect using my phone,sync_device
i want to disconnect the current connection to my phone,sync_device
disconnect from my phone now,sync_device
disconnect from my phone,sync_device
i'd like you to disconnect from my phone,sync_device
do you think you could disconnect from my phone,sync_device
can you disconnect from my phone,sync_device
please get off my phone,sync_device
are you able to get into my phone at the moment,sync_device
can you get access to my phone right now,sync_device
do you have access to my phone,sync_device
are you able to link to my phone,sync_device
is my phone connectable right now,sync_device
quickly disconnect the phone,sync_device
let my credit card company know that my card split in half,damaged_card
how do you report a burned debit card,damaged_card
"my card split in half, how do i report it",damaged_card
report my burned card to the company,damaged_card
what do i say when i report a split credit card,damaged_card
my card was damaged by my cat; can i report that,damaged_card
i dropped my card in my gasoline and the printing wore off,damaged_card
i need to report that my dog chewed up my card,damaged_card
it seems i can't use my card since it has been damaged,damaged_card
"unfortunately, my card is damaged and unusable",damaged_card
what should i do with an unusable and damaged card,damaged_card
my card is unusable because it's damaged,damaged_card
i cracked my card and need a replacement,damaged_card
my card got melted and i need to report it,damaged_card
"my card got melted and i need to report it, please",damaged_card
"my card got melted in the dryer and i need to report it, please",damaged_card
my card got damaged and i need to report it,damaged_card
"my card got damaged and i need to report it, please",damaged_card
my card is damaged so i can not use it,damaged_card
report the card has been damaged,damaged_card
"i can not use my card, it is damaged",damaged_card
"the card is torn, let's report it",damaged_card
report that the card has been wrecked,damaged_card
my card is damaged and no longer function,damaged_card
my card is damaged and unusable,damaged_card
